(0.293873, 0.613738, PING)
(-0.435500, -0.717138, PING)
(-0.112895, -0.577714, PING)
(-0.109689, 0.393428, PING)
(-0.508573, 0.574763, PING)
(0.016212, 0.009444, PING)
(-0.609128, -0.038793, PING)
(0.465347, -0.226972, PING)
(0.089392, -0.369466, PING)
(0.356032, -0.605454, PING)
(0.009074, 0.704781, PING)
(0.858160, 0.493661, PING)
(0.858604, 0.403592, PING)
(-0.532148, -0.114525, PING)
(0.344706, -0.831761, PING)
(0.615824, 0.733516, PING)
(0.179743, 0.118676, METAL)
(-0.769548, 0.634674, METAL)
(-0.467221, -0.752056, METAL)
(0.309430, 0.118338, METAL)
(-0.449847, 0.050832, METAL)
(-0.509291, -0.619057, METAL)
(0.780059, -0.706914, METAL)
(-0.791590, -0.551397, METAL)
(0.214551, 0.396219, METAL)
(0.603090, 0.640732, METAL)
(-0.817254, -0.780527, METAL)
(0.208581, -0.663911, METAL)
(0.630077, 0.818588, METAL)
(0.569591, 0.681100, METAL)
(-0.773776, 0.758130, METAL)
(-0.026219, -0.100356, METAL)
(0.706509, -0.798194, METAL)
(0.394569, -0.675930, METAL)
(-0.860104, 0.298463, METAL)
(-0.710022, 0.791545, METAL)
(0.072260, 0.233769, METAL)
(-0.821629, -0.445715, METAL)
(-0.494070, 0.229223, METAL)
(0.503839, 0.750192, METAL)
