0.256,0.800000,0.101103,0.800000,0.006370
0.256,0.800000,0.101103,0.800000,0.006370
0.256,0.800000,0.101103,0.800000,0.006370
0.256,0.800000,0.101103,0.800000,0.006370
0.256,0.800000,0.101103,0.800000,0.006370
0.256,0.800000,0.101103,0.800000,0.006370
0.256,0.800000,0.101103,0.800000,0.006370
0.256,0.800000,0.101103,0.800000,0.006370
0.256,0.800000,0.101103,0.800000,0.006370
0.256,0.800000,0.101103,0.800000,0.006370
0.256,0.800000,0.101103,0.800000,0.006370
0.256,0.800000,0.101103,0.800000,0.006370
0.256,0.800000,0.101103,0.800000,0.006370
0.256,0.800000,0.101103,0.800000,0.006370
0.256,0.800000,0.101103,0.800000,0.006370
0.256,0.800000,0.101103,0.800000,0.006370
0.256,0.800000,0.101103,0.800000,0.006370
0.256,0.800000,0.101103,0.800000,0.006370
0.256,0.800000,0.101103,0.800000,0.006370
0.256,0.800000,0.101103,0.800000,0.006370
0.256,0.800000,0.101103,0.800000,0.006370
0.256,0.800000,0.101103,0.800000,0.006370
0.256,0.800000,0.101103,0.800000,0.006370
0.256,0.800000,0.101103,0.800000,0.006370
0.256,0.800000,0.101103,0.800000,0.006370
0.256,0.800000,0.101103,0.800000,0.006370
0.256,0.800000,0.101103,0.800000,0.006370
0.256,0.800000,0.101103,0.800000,0.006370
0.256,0.800000,0.101103,0.800000,0.006370
0.256,0.800000,0.101103,0.800000,0.006370
0.256,0.800000,0.101103,0.800000,0.006370
0.256,0.800000,0.101103,0.800000,0.006370
0.256,0.800000,0.101103,0.800000,0.006370
0.256,0.800000,0.101103,0.800000,0.006370
0.256,0.800000,0.101103,0.800000,0.006370
0.256,0.800000,0.101103,0.800000,0.006370
0.256,0.800000,0.101103,0.800000,0.006370
0.256,0.800000,0.101103,0.800000,0.006370
0.256,0.800000,0.101103,0.800000,0.006370
0.256,0.800000,0.101103,0.800000,0.006370
0.256,0.800000,0.101103,0.800000,0.006370
0.256,0.800000,0.101103,0.800000,0.006370
0.256,0.800000,0.101103,0.800000,0.006370
0.256,0.800000,0.101103,0.800000,0.006370
0.256,0.800000,0.101103,0.800000,0.006370
0.256,0.800000,0.101103,0.800000,0.006370
0.256,0.800000,0.101103,0.800000,0.006370
0.256,0.800000,0.101103,0.800000,0.006370
0.256,0.800000,0.101103,0.800000,0.006370
0.256,0.800000,0.101103,0.800000,0.006370
0.256,0.800000,0.101103,0.800000,0.006370
0.256,0.800000,0.101103,0.800000,0.006370
0.256,0.800000,0.101103,0.800000,0.006370
0.256,0.800000,0.101103,0.800000,0.006370
0.316,0.800000,0.151239,0.800000,0.013991
0.316,0.800000,0.151239,0.800000,0.013991
0.316,0.800000,0.151239,0.800000,0.013991
0.376,0.800000,0.151827,0.800000,0.021715
0.376,0.800000,0.151827,0.800000,0.021715
0.376,0.800000,0.151827,0.800000,0.021715
0.436,0.800000,0.152810,0.800000,0.029491
0.436,0.800000,0.152810,0.800000,0.029491
0.436,0.800000,0.152810,0.800000,0.029491
0.496,0.800000,0.154198,0.800000,0.037272
0.496,0.800000,0.154198,0.800000,0.037272
0.496,0.800000,0.154198,0.800000,0.037272
0.556,0.800000,0.155997,0.800000,0.045008
0.556,0.800000,0.155997,0.800000,0.045008
0.556,0.800000,0.155997,0.800000,0.045008
0.616,0.800000,0.158212,0.800000,0.052650
0.616,0.800000,0.158212,0.800000,0.052650
0.616,0.800000,0.158212,0.800000,0.052650
0.676,0.800000,0.160845,0.800000,0.060147
0.676,0.800000,0.160845,0.800000,0.060147
0.676,0.800000,0.160845,0.800000,0.060147
0.736,0.800000,0.163895,0.800000,0.067451
0.736,0.800000,0.163895,0.800000,0.067451
0.736,0.800000,0.163895,0.800000,0.067451
0.796,0.800000,0.167361,0.800000,0.074511
0.796,0.800000,0.167361,0.800000,0.074511
0.796,0.800000,0.167361,0.800000,0.074511
0.856,0.800000,0.171236,0.800000,0.081278
0.856,0.800000,0.171236,0.800000,0.081278
0.856,0.800000,0.171236,0.800000,0.081278
0.916,0.800000,0.175515,0.800000,0.112196
0.916,0.800000,0.175515,0.800000,0.112196
0.916,0.800000,0.175515,0.800000,0.112196
0.976,0.800000,0.180188,0.800000,0.120037
0.976,0.800000,0.180188,0.800000,0.120037
0.976,0.800000,0.180188,0.800000,0.120037
