(0.250000, 0.000000)
(0.246202, 0.043412)
(0.234923, 0.085505)
(0.216506, 0.125000)
(0.191511, 0.160697)
(0.160697, 0.191511)
(0.125000, 0.216506)
(0.085505, 0.234923)
(0.043412, 0.246202)
(0.000000, 0.250000)
(-0.043412, 0.246202)
(-0.085505, 0.234923)
(-0.125000, 0.216506)
(-0.160697, 0.191511)
(-0.191511, 0.160697)
(-0.216506, 0.125000)
(-0.234923, 0.085505)
(-0.246202, 0.043412)
(-0.250000, 0.000000)
(-0.246202, -0.032965)
(-0.234923, -0.064929)
(-0.216506, -0.094920)
(-0.191511, -0.122027)
(-0.160697, -0.145426)
(-0.125000, -0.164406)
(-0.085505, -0.178391)
(-0.043412, -0.186956)
(-0.000000, -0.189840)
(0.043412, -0.186956)
(0.085505, -0.178391)
(0.125000, -0.164406)
(0.160697, -0.145426)
(0.191511, -0.122027)
(0.216506, -0.094920)
(0.234923, -0.064929)
(0.246202, -0.032965)
