0.256,0.800000,0.800000,0.800000,0.800000
0.316,0.800000,0.800000,0.800000,0.800000
0.376,0.800000,0.800000,0.800000,0.800000
0.436,0.800000,0.800000,0.800000,0.800000
0.496,0.800000,0.800000,0.800000,0.800000
0.556,0.800000,0.800000,0.800000,0.800000
0.616,0.800000,0.800000,0.800000,0.800000
0.676,0.800000,0.800000,0.800000,0.800000
0.736,0.800000,0.800000,0.800000,0.800000
0.796,0.800000,0.800000,0.800000,0.800000
0.856,0.800000,0.800000,0.800000,0.800000
0.916,0.800000,0.800000,0.800000,0.800000
0.976,0.800000,0.800000,0.800000,0.800000
1.036,0.800000,0.800000,0.800000,0.800000
1.096,0.800000,0.800000,0.800000,0.800000
1.156,0.800000,0.800000,0.689804,0.800000
1.216,0.800000,0.800000,0.631108,0.800000
1.276,0.800000,0.800000,0.605349,0.800000
1.336,0.800000,0.800000,0.593787,0.800000
1.396,0.800000,0.800000,0.666417,0.800000
1.456,0.800000,0.800000,0.800000,0.800000
1.516,0.800000,0.800000,0.800000,0.800000
1.576,0.800000,0.800000,0.800000,0.800000
1.636,0.800000,0.800000,0.800000,0.800000
1.696,0.800000,0.800000,0.800000,0.800000
1.756,0.800000,0.800000,0.800000,0.800000
1.816,0.800000,0.800000,0.800000,0.800000
1.876,0.800000,0.800000,0.800000,0.800000
1.936,0.800000,0.800000,0.800000,0.800000
1.996,0.800000,0.800000,0.800000,0.800000
2.056,0.800000,0.800000,0.800000,0.800000
2.116,0.800000,0.093870,0.800000,0.800000
2.176,0.800000,0.098112,0.800000,0.800000
